"page","chart_id","node_id","type","label_zh","x","y","width","height","units","备注"
"2","ERASMUS-JP-02","JP02-HIJ","condition","甘地或缅甸大军力步数优势，且后勤≥18？","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-PASS","action","PASS","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-EVENT","action","事件","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-RESOURCE","action","资源","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-CENTRAL-PACIFIC","action","中太平洋","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-CBI","action","中缅印","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-INDIA","action","印度","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-S-PERIMETER","action","外围防御","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-FALLBACK","fallback","","","","","","page_fraction",""
"2","ERASMUS-JP-02","JP02-END","terminal","","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-START","start","","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-A","condition","手牌≥3？","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-BC","condition","东京8格港口和5格机场均有驻军？","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-D","condition","可以PASS？","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-E","condition","盟军地面单位在本州？","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-S-EVENT","action","事件","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-S-FINAL-PERIMETER","action","最终国防圈","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-S-PASS","action","PASS","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-S-FINAL-DEFENSE","action","最终防御","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-FALLBACK","fallback","","","","","","page_fraction",""
"3","ERASMUS-JP-03","JP03-END","terminal","","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-START","start","","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-A","condition","攻势阶段有打出过牌？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-CLASSIFY","process","卡牌分类","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-B","condition","当前手牌大于2张？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-C","condition","本场第一张牌？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-D","condition","有先发打击牌？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-E","condition","有可执行的不受限军事事件？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-F","condition","有可执行的受限军事事件？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-G","condition","所有有效军事事件均因限制不能达成目标？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-H","condition","本回合已选择未来攻势？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-I","condition","早期东印度目标都占领？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-J","condition","只剩1张牌？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-K","condition","剩下可用事件牌是反应牌？","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-FIRST","action","先发打击EC","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-UNRESTRICTED-EC","action","无限制军事事件EC","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-RESTRICTED-EC","action","受限军事事件EC","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-RESTRICTED-OC","action","受限军事事件OC","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-NONMIL-OC","action","无军事事件OC","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-FO","action","未来攻势","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-S-EVENT","action","事件战略","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-FALLBACK","fallback","","","","","","page_fraction",""
"4","ERASMUS-JP-04","JP04-END","terminal","","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-START","start","","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-A","condition","对目标的海空攻击？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-B","condition","目标沿岸或岛屿？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-C","condition","能否地面推进占领？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-DOR-EF","condition","D或(E+F)？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-D1","condition","目标为空？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-D2","condition","目标为空？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-G","condition","潜在SR格？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-H","condition","敌空军或航母可反应？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-AIR","process","航空打击","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-AIR-GROUND","process","带航空支援地面攻击","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-AIRSEA-GROUND","process","带航空/海上支援地面攻击","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-SEA-LANDING","process","带海上支援登陆","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-AIRSEA-LANDING","process","带航空/海上支援登陆","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-UNSUPPORTED-LANDING","process","无支援登陆","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-TARGET","action","JP_SELECT_TARGET","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-ACTIVATE","action","JP_ACTIVATE_MINIMUM_SUFFICIENT_FORCE","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-I","condition","激活点满足战斗支援标准？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-J","condition","目标伤害等级达到？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-D10","dice","掷D10","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-WEAKEST","action","攻击最弱堆叠","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-MOVE","action","JP_MOVE_TO_TARGET","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-KL","condition","K+L？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-M","condition","最后目标？","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-SUPPRESS","action","考虑压制攻击","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-EXTRA","action","用额外激活点激活更多单位","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-S-NEXT","action","为下一目标编成新任务部队","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-FALLBACK","fallback","","","","","","page_fraction",""
"5","ERASMUS-JP-05","JP05-END","terminal","","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-START","start","","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-A","condition","天气牌可用？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-B","condition","满足天气牌标准？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-WEATHER","action","天气反应","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-C","condition","有SR？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-SR","action","为每处SR掷骰","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-D","condition","有战斗格？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-EFG","condition","E+(F或G)？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-D10","dice","情报判定","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-INTEL-CARD","action","打出情报反应牌","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-INTEL-ROLL","action","JP_INTELLIGENCE_ROLL","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-H","condition","满足反应部队标准？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-RF-D10","dice","日本反应兵力D10（图示1-4/5-9；0按低段）","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-REACTION","action","反应战略","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-IJ","condition","I+J？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-KAMIKAZE","action","神风特攻","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-KL","condition","K+L？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-SUB","action","潜艇攻击","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-PBM","process","如果可以的话执行PBM","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-PBM-A","condition","空中单位需要PBM？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-PBM-B","condition","海上单位需要PBM？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-PBM-C","condition","失败两栖单位需要PBM？","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-PBM-AIR","action","航空PBM","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-PBM-SEA","action","海上PBM","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-S-PBM-AA","action","AA失败PBM","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-FALLBACK","fallback","","","","","","page_fraction",""
"6","ERASMUS-JP-06","JP06-END","terminal","","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-START","start","","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-A","condition","手牌≥3？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-B","condition","菲律宾有补给HQ？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-C","condition","马来亚有补给HQ？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-D","condition","Arcadia已打出？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-E","condition","CBI防御完成？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-FG","condition","有PASS且只剩一张牌？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-JKLMN","condition","橙色计划条件全部满足？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-OP","condition","DEI未投降且ABDA有补给？","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-EVENT","action","事件","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-EVAC-PHILIPPINES","action","撤离菲律宾","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-EVAC-MALAYA","action","撤离马来亚","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-ABDA","action","建立ABDA","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-CBI","action","增强CBI防御","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-PASS","action","PASS","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-ORANGE","action","橙色计划","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-DEI","action","DEI防御","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-S-OFFENSIVE","action","攻势进攻","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-FALLBACK","fallback","","","","","","page_fraction",""
"7","ERASMUS-AP-07","AP07-END","terminal","","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-START","start","","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-A","condition","可以PASS？","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-B","condition","需要满足战争进程？","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-C","condition","手牌≥3？","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-D","condition","日本控制反攻目标？","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-D10","dice","掷D10；不可执行则重掷","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-PASS","action","PASS","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-EVENT","action","事件","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-COUNTEROFFENSIVE","action","反攻","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-SOUTH-PACIFIC","action","南太平洋","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-CENTRAL-PACIFIC","action","中太平洋","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-DEI","action","DEI","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-S-CBI","action","CBI","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-FALLBACK","fallback","","","","","","page_fraction",""
"8","ERASMUS-AP-08","AP08-END","terminal","","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-START","start","","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-A","condition","可以PASS？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-B","condition","第12回合？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-C","condition","手牌≥3？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-D","condition","拥有战略轰炸基地？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-E","condition","地图上所有B-29均在基地？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-F","condition","控制东京8格内格？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-D10","dice","掷D10","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-G","condition","满足原子弹战略标准？","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-PASS","action","PASS","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-EVENT","action","事件","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-CAPTURE-BOMBING-BASE","action","占领轰炸基地","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-PUSH-B29","action","推进B-29","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-RETURN-PHILIPPINES","action","重返菲律宾","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-ISLAND-HOPPING","action","跳岛","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-ALTERNATE","action","轮流","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-ATOMIC","action","原子弹胜利","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-S-INVADE-JAPAN","action","登陆日本","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-FALLBACK","fallback","","","","","","page_fraction",""
"9","ERASMUS-AP-09","AP09-END","terminal","","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-START","start","","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-A","condition","攻势阶段有打出过牌？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-CLASSIFY","process","卡牌分类","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-LM","condition","中国距崩溃≤2且有可用中国事件？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-CHINA","action","打出中国事件牌","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-B","condition","当前手牌大于2张？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-C","condition","本场第一张牌？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-D","condition","有先发打击牌？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-E","condition","有可执行的不受限军事事件？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-F","condition","有可执行的受限军事事件？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-G","condition","所有有效军事事件均因限制不能达成目标？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-H","condition","本回合已选择未来攻势？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-I","condition","早期CBI防御完成？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-J","condition","只剩1张牌？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-K","condition","剩下可用事件牌是反应牌？","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-FIRST","action","先发打击EC","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-UNRESTRICTED-EC","action","无限制军事事件EC","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-RESTRICTED-EC","action","受限军事事件EC","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-RESTRICTED-OC","action","受限军事事件OC","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-NONMIL-OC","action","无军事事件OC","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-FO","action","未来攻势","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-S-EVENT","action","事件战略","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-FALLBACK","fallback","","","","","","page_fraction",""
"10","ERASMUS-AP-10","AP10-END","terminal","","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-START","start","","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-A","condition","对目标的海空攻击？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-B","condition","目标沿岸或岛屿？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-C","condition","能否地面推进占领？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-DOR-EF","condition","D或(E+F)？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-D1","condition","目标为空？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-D2","condition","目标为空？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-G","condition","潜在SR格？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-H","condition","敌空军或航母可反应？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-AIR","process","航空打击","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-AIR-GROUND","process","带航空支援地面攻击","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-AIRSEA-GROUND","process","带航空/海上支援地面攻击","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-SEA-LANDING","process","带海上支援登陆","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-AIRSEA-LANDING","process","带航空/海上支援登陆","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-UNSUPPORTED-LANDING","process","无支援登陆","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-TARGET","action","AP_SELECT_TARGET","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-ACTIVATE","action","AP_ACTIVATE_MINIMUM_SUFFICIENT_FORCE","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-I","condition","激活点满足战斗支援标准？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-J","condition","目标伤害等级达到？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-D10","dice","掷D10","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-WEAKEST","action","攻击最弱堆叠","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-MOVE","action","AP_MOVE_TO_TARGET","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-KL","condition","K+L？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-M","condition","最后目标？","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-SUPPRESS","action","考虑压制攻击","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-EXTRA","action","用额外激活点激活更多单位","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-S-NEXT","action","为下一目标编成新任务部队","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-FALLBACK","fallback","","","","","","page_fraction",""
"11","ERASMUS-AP-11","AP11-END","terminal","","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-START","start","","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-A","condition","有SR？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-SR","action","为每处SR掷骰","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-B","condition","有战斗格？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-C","condition","补给HQ范围内有战斗格？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-DEF","condition","D或E或F？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-D10","dice","情报判定","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-INTEL-CARD","action","打出情报反应牌","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-INTEL-ROLL","action","AP_INTELLIGENCE_ROLL","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-G","condition","满足反应部队标准？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-RF-D10","dice","盟军反应兵力D10","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-REACTION","action","反应战略","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-HI","condition","H+I？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-SUB","action","潜艇攻击","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-PBM","process","如果可以的话执行PBM","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-PBM-A","condition","空中单位需要PBM？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-PBM-B","condition","海上单位需要PBM？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-PBM-C","condition","失败两栖单位需要PBM？","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-PBM-AIR","action","航空PBM","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-PBM-SEA","action","海上PBM","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-S-PBM-AA","action","AA失败PBM","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-FALLBACK","fallback","","","","","","page_fraction",""
"12","ERASMUS-AP-12","AP12-END","terminal","","","","","","page_fraction",""
